date,store_nbr,product_id,family,sales_units,onpromotion,is_holiday,economic_oil_index
2025-01-01,1,PROD_ELEC_001,Electronics,52,0,1,71.14
2025-01-01,1,PROD_ELEC_002,Electronics,68,1,1,71.14
2025-01-01,1,PROD_ELEC_003,Electronics,64,1,1,71.14
2025-01-01,1,PROD_ELEC_004,Electronics,47,0,1,71.14
2025-01-01,1,PROD_ELEC_005,Electronics,75,1,1,71.14
2025-01-01,1,PROD_APP_001,Apparel,48,0,1,71.14
2025-01-01,1,PROD_APP_002,Apparel,48,0,1,71.14
2025-01-01,1,PROD_APP_003,Apparel,54,0,1,71.14
2025-01-01,1,PROD_APP_004,Apparel,42,0,1,71.14
2025-01-01,1,PROD_HOME_001,Home & Kitchen,42,0,1,71.14
2025-01-01,1,PROD_HOME_002,Home & Kitchen,41,0,1,71.14
2025-01-01,1,PROD_HOME_003,Home & Kitchen,49,0,1,71.14
2025-01-01,1,PROD_HOME_004,Home & Kitchen,48,0,1,71.14
2025-01-01,1,PROD_BEAU_001,Health & Beauty,75,1,1,71.14
2025-01-01,1,PROD_BEAU_002,Health & Beauty,48,0,1,71.14
2025-01-01,1,PROD_BEAU_003,Health & Beauty,46,0,1,71.14
2025-01-01,1,PROD_SPRT_001,Sports & Outdoors,48,0,1,71.14
2025-01-01,1,PROD_SPRT_002,Sports & Outdoors,48,0,1,71.14
2025-01-01,1,PROD_SPRT_003,Sports & Outdoors,41,0,1,71.14
2025-01-01,1,PROD_SPRT_004,Sports & Outdoors,58,0,1,71.14
2025-01-02,1,PROD_ELEC_001,Electronics,30,0,0,72.89
2025-01-02,1,PROD_ELEC_002,Electronics,32,0,0,72.89
2025-01-02,1,PROD_ELEC_003,Electronics,32,0,0,72.89
2025-01-02,1,PROD_ELEC_004,Electronics,29,0,0,72.89
2025-01-02,1,PROD_ELEC_005,Electronics,27,0,0,72.89
2025-01-02,1,PROD_APP_001,Apparel,45,1,0,72.89
2025-01-02,1,PROD_APP_002,Apparel,31,0,0,72.89
2025-01-02,1,PROD_APP_003,Apparel,26,0,0,72.89
2025-01-02,1,PROD_APP_004,Apparel,35,0,0,72.89
2025-01-02,1,PROD_HOME_001,Home & Kitchen,44,1,0,72.89
2025-01-02,1,PROD_HOME_002,Home & Kitchen,32,0,0,72.89
2025-01-02,1,PROD_HOME_003,Home & Kitchen,49,1,0,72.89
2025-01-02,1,PROD_HOME_004,Home & Kitchen,30,0,0,72.89
2025-01-02,1,PROD_BEAU_001,Health & Beauty,44,1,0,72.89
