product_id,product_category_name,week_num,unit_price,comp_1_price,comp_2_price,comp_3_price,freight_price,product_score,ps1,ps2,ps3,weekly_sales_volume
PROD_ELEC_001,Electronics,1,204.96,207.93,209.55,217.54,10.54,4.6,4.3,4.8,4.8,95
PROD_ELEC_001,Electronics,2,197.65,197.01,190.48,184.94,9.74,4.6,4.6,4.5,4.6,86
PROD_ELEC_001,Electronics,3,189.86,196.04,179.34,168.08,7.05,4.6,4.4,4.6,4.8,106
PROD_ELEC_001,Electronics,4,197.73,202.65,190.66,184.68,5.67,4.6,4.3,4.7,4.7,101
PROD_ELEC_001,Electronics,5,199.86,195.4,206.08,179.22,11.68,4.6,4.6,4.3,5.0,89
PROD_ELEC_001,Electronics,6,180.39,185.58,186.54,164.06,7.02,4.6,4.4,4.8,4.6,95
PROD_ELEC_001,Electronics,7,203.43,193.15,204.69,192.63,5.2,4.6,4.3,4.8,4.8,85
PROD_ELEC_001,Electronics,8,206.11,217.61,211.83,197.36,5.23,4.6,4.4,4.8,4.8,84
PROD_ELEC_001,Electronics,9,195.2,197.65,182.45,175.33,10.86,4.6,4.7,4.5,4.5,98
PROD_ELEC_001,Electronics,10,213.55,226.13,219.91,226.3,9.03,4.6,4.5,4.6,4.7,94
PROD_ELEC_001,Electronics,11,200.86,202.47,199.77,170.88,10.55,4.6,4.5,4.7,4.5,79
PROD_ELEC_001,Electronics,12,203.56,205.9,197.18,203.58,9.97,4.6,4.7,4.8,4.5,102
PROD_ELEC_001,Electronics,13,200.96,212.77,191.9,190.98,8.52,4.6,4.7,4.8,4.4,90
PROD_ELEC_001,Electronics,14,185.36,169.38,186.71,175.4,11.8,4.6,4.5,4.9,4.6,100
PROD_ELEC_001,Electronics,15,218.85,224.76,219.48,211.31,7.34,4.6,4.4,4.2,4.8,65
PROD_ELEC_001,Electronics,16,199.72,198.45,197.76,199.45,8.64,4.6,4.4,4.3,4.7,96
PROD_ELEC_001,Electronics,17,211.42,222.01,217.67,193.54,10.72,4.6,4.6,4.6,4.5,92
PROD_ELEC_001,Electronics,18,185.97,186.02,192.69,199.43,9.14,4.6,4.3,4.6,4.5,121
PROD_ELEC_001,Electronics,19,189.37,196.74,178.77,201.3,10.96,4.6,4.8,4.8,4.6,96
PROD_ELEC_001,Electronics,20,196.77,208.92,199.98,206.97,8.83,4.6,4.4,4.3,4.9,125
PROD_ELEC_001,Electronics,21,202.59,212.98,188.03,180.46,9.78,4.6,4.7,4.7,4.8,89
PROD_ELEC_001,Electronics,22,202.96,208.86,209.53,199.0,4.84,4.6,4.6,4.7,4.5,85
PROD_ELEC_001,Electronics,23,190.24,200.03,199.36,175.17,6.21,4.6,4.6,4.6,4.5,107
PROD_ELEC_001,Electronics,24,204.12,197.02,194.2,208.76,6.67,4.6,4.6,4.8,4.7,88
PROD_ELEC_001,Electronics,25,197.34,222.76,201.54,181.27,5.1,4.6,4.8,4.9,4.9,83
PROD_ELEC_001,Electronics,26,204.81,207.89,210.34,193.11,6.25,4.6,4.5,4.8,4.6,95
PROD_ELEC_001,Electronics,27,202.13,196.1,201.86,200.74,5.26,4.6,4.6,4.9,4.5,87
PROD_ELEC_001,Electronics,28,201.53,214.08,200.03,206.03,6.58,4.6,4.7,4.5,4.6,106
PROD_ELEC_001,Electronics,29,205.14,213.46,208.37,246.41,9.27,4.6,4.7,4.8,4.9,101
PROD_ELEC_001,Electronics,30,211.35,205.83,193.38,207.1,7.24,4.6,4.3,4.5,4.7,74
PROD_ELEC_001,Electronics,31,206.85,197.64,199.9,214.16,7.28,4.6,4.7,4.4,4.8,89
PROD_ELEC_001,Electronics,32,189.21,211.08,204.76,199.01,6.07,4.6,4.8,4.6,4.6,124
PROD_ELEC_001,Electronics,33,193.37,203.83,183.77,186.24,6.5,4.6,4.5,4.3,4.5,104
PROD_ELEC_001,Electronics,34,208.65,215.48,189.74,214.23,11.52,4.6,4.4,4.9,4.8,92
PROD_ELEC_001,Electronics,35,221.21,234.77,202.19,208.15,9.36,4.6,4.3,4.3,4.4,84
PROD_ELEC_001,Electronics,36,192.91,194.94,209.04,186.9,9.07,4.6,4.5,4.3,4.7,95
PROD_ELEC_001,Electronics,37,216.31,208.26,209.39,211.52,5.78,4.6,4.6,4.8,4.8,94
PROD_ELEC_001,Electronics,38,185.63,187.84,184.34,187.27,9.97,4.6,4.6,4.5,4.8,114
PROD_ELEC_001,Electronics,39,221.32,208.46,217.43,222.49,5.73,4.6,4.3,4.4,4.9,79
PROD_ELEC_001,Electronics,40,193.76,192.81,188.38,199.01,7.35,4.6,4.7,4.7,4.9,114
PROD_ELEC_001,Electronics,41,191.7,191.24,196.95,192.97,11.92,4.6,4.5,4.7,4.6,107
PROD_ELEC_001,Electronics,42,201.16,217.68,194.73,190.2,9.3,4.6,4.8,4.6,4.9,94
PROD_ELEC_001,Electronics,43,206.81,208.38,208.09,198.99,8.68,4.6,4.6,4.5,4.6,90
PROD_ELEC_001,Electronics,44,205.94,219.98,191.56,209.28,9.63,4.6,4.7,4.3,4.7,92
PROD_ELEC_001,Electronics,45,200.75,199.33,208.53,192.96,10.82,4.6,4.4,4.7,4.8,88
PROD_ELEC_001,Electronics,46,196.78,197.3,196.82,197.48,10.32,4.6,4.3,4.3,5.0,110
PROD_ELEC_001,Electronics,47,185.51,178.78,176.99,177.57,6.22,4.6,4.5,4.8,4.5,111
PROD_ELEC_001,Electronics,48,214.74,216.44,212.54,199.51,4.74,4.6,4.4,4.3,4.8,79
PROD_ELEC_001,Electronics,49,205.18,221.86,202.01,203.97,6.87,4.6,4.4,4.9,4.4,99
PROD_ELEC_001,Electronics,50,195.98,200.45,203.66,195.67,6.51,4.6,4.6,4.6,4.8,104
PROD_ELEC_001,Electronics,51,221.52,219.15,228.97,217.31,6.08,4.6,4.4,4.3,4.7,98
PROD_ELEC_001,Electronics,52,191.91,203.67,172.62,164.13,11.57,4.6,4.7,4.7,4.5,92
PROD_ELEC_002,Electronics,1,326.89,357.38,342.9,307.88,11.07,4.7,4.9,4.9,5.0,89
PROD_ELEC_002,Electronics,2,373.68,344.5,353.1,360.03,6.86,4.7,4.8,4.9,5.1,82
PROD_ELEC_002,Electronics,3,350.08,357.74,338.7,352.66,9.42,4.7,4.9,4.7,4.6,87
